L P
0.38326 1.131988
0.38416 1.129908
0.38506 1.127831
0.38596 1.125758
0.38686 1.123689
0.38776 1.121624
0.38866 1.119564
0.38956 1.117508
0.39046 1.115457
0.39136 1.113411
0.39226 1.11137
0.39316 1.109335
0.39406 1.107305
0.39496 1.105282
0.39586 1.103264
0.39676 1.101252
0.39766 1.099247
0.39856 1.097248
0.39946 1.095256
0.40036 1.093271
0.40126 1.091293
0.40216 1.089323
0.40306 1.087359
0.40396 1.085404
0.40486 1.083456
0.40576 1.081515
0.40666 1.079583
0.40756 1.077659
0.40846 1.075743
0.40936 1.073835
0.41026 1.071935
0.41116 1.070045
0.41206 1.068163
0.41296 1.066289
0.41386 1.064425
0.41476 1.062569
0.41566 1.060723
0.41656 1.058885
0.41746 1.057057
0.41836 1.055238
0.41926 1.053428
0.42016 1.051628
0.42106 1.049837
0.42196 1.048055
0.42286 1.046283
0.42376 1.044521
0.42466 1.042768
0.42556 1.041025
0.42646 1.039291
0.42736 1.037567
0.42826 1.035853
0.42916 1.034148
0.43006 1.032453
0.43096 1.030768
0.43186 1.029092
0.43276 1.027426
0.43366 1.02577
0.43456 1.024123
0.43546 1.022487
0.43636 1.020859
0.43726 1.019242
0.43816 1.017633
0.43906 1.016035
0.43996 1.014446
0.44086 1.012866
0.44176 1.011296
0.44266 1.009735
0.44356 1.008184
0.44446 1.006642
0.44536 1.005109
0.44626 1.003585
0.44716 1.002071
0.44806 1.000566
0.44896 0.999069
0.44986 0.997582
0.45076 0.996103
0.45166 0.994633
0.45256 0.993173
0.45346 0.99172
0.45436 0.990277
0.45526 0.988842
0.45616 0.987415
0.45706 0.985997
0.45796 0.984587
0.45886 0.983185
0.45976 0.981792
0.46066 0.980406
0.46156 0.979029
0.46246 0.977659
0.46336 0.976298
0.46426 0.974944
0.46516 0.973598
0.46606 0.972259
0.46696 0.970928
0.46786 0.969604
0.46876 0.968287
0.46966 0.966978
0.47056 0.965676
0.47146 0.964381
0.47236 0.963092
0.47326 0.961811
0.47416 0.960536
0.47506 0.959268
0.47596 0.958007
0.47686 0.956752
0.47776 0.955504
0.47866 0.954262
0.47956 0.953026
0.48046 0.951796
0.48136 0.950572
0.48226 0.949354
0.48316 0.948142
0.48406 0.946936
0.48496 0.945735
0.48586 0.94454
0.48676 0.943351
0.48766 0.942166
0.48856 0.940988
0.48946 0.939814
0.49036 0.938645
0.49126 0.937482
0.49216 0.936323
0.49306 0.93517
0.49396 0.934021
0.49486 0.932877
0.49576 0.931737
0.49666 0.930602
0.49756 0.929471
0.49846 0.928345
0.49936 0.927222
0.50026 0.926105
0.50116 0.924991
0.50206 0.923881
0.50296 0.922775
0.50386 0.921673
0.50476 0.920574
0.50566 0.919479
0.50656 0.918388
0.50746 0.9173
0.50836 0.916216
0.50926 0.915135
0.51016 0.914057
0.51106 0.912983
0.51196 0.911912
0.51286 0.910843
0.51376 0.909778
0.51466 0.908715
0.51556 0.907655
0.51646 0.906598
0.51736 0.905544
0.51826 0.904492
0.51916 0.903443
0.52006 0.902396
0.52096 0.901351
0.52186 0.900309
0.52276 0.899268
0.52366 0.89823
0.52456 0.897194
0.52546 0.89616
0.52636 0.895128
0.52726 0.894098
0.52816 0.893069
0.52906 0.892042
0.52996 0.891017
0.53086 0.889994
0.53176 0.888971
0.53266 0.887951
0.53356 0.886931
0.53446 0.885913
0.53536 0.884896
0.53626 0.88388
0.53716 0.882866
0.53806 0.881852
0.53896 0.880839
0.53986 0.879828
0.54076 0.878816
0.54166 0.877806
0.54256 0.876797
0.54346 0.875788
0.54436 0.874779
0.54526 0.873771
0.54616 0.872764
0.54706 0.871757
0.54796 0.87075
0.54886 0.869744
0.54976 0.868737
0.55066 0.867731
0.55156 0.866725
0.55246 0.865719
0.55336 0.864712
0.55426 0.863706
0.55516 0.862699
0.55606 0.861693
0.55696 0.860686
0.55786 0.859678
0.55876 0.85867
0.55966 0.857662
0.56056 0.856653
0.56146 0.855643
0.56236 0.854633
0.56326 0.853622
0.56416 0.85261
0.56506 0.851597
0.56596 0.850584
0.56686 0.849569
0.56776 0.848553
0.56866 0.847537
0.56956 0.846519
0.57046 0.8455
0.57136 0.844479
0.57226 0.843458
0.57316 0.842434
0.57406 0.84141
0.57496 0.840384
0.57586 0.839356
0.57676 0.838327
0.57766 0.837295
0.57856 0.836263
0.57946 0.835228
0.58036 0.834191
0.58126 0.833153
0.58216 0.832112
0.58306 0.831069
0.58396 0.830025
0.58486 0.828978
0.58576 0.827928
0.58666 0.826877
0.58756 0.825823
0.58846 0.824766
0.58936 0.823707
0.59026 0.822646
0.59116 0.821581
0.59206 0.820514
0.59296 0.819444
0.59386 0.818372
0.59476 0.817296
0.59566 0.816218
0.59656 0.815136
0.59746 0.814051
0.59836 0.812964
0.59926 0.811872
0.60016 0.810778
0.60106 0.80968
0.60196 0.808579
0.60286 0.807474
0.60376 0.806365
0.60466 0.805253
0.60556 0.804137
0.60646 0.803018
0.60736 0.801894
0.60826 0.800767
0.60916 0.799635
0.61006 0.798499
0.61096 0.797359
0.61186 0.796215
0.61276 0.795067
0.61366 0.793914
0.61456 0.792756
0.61546 0.791594
0.61636 0.790428
0.61726 0.789256
0.61816 0.78808
0.61906 0.786899
0.61996 0.785713
0.62086 0.784521
0.62176 0.783325
0.62266 0.782124
0.62356 0.780917
0.62446 0.779704
0.62536 0.778487
0.62626 0.777263
0.62716 0.776034
0.62806 0.7748
0.62896 0.773559
0.62986 0.772312
0.63076 0.77106
0.63166 0.769801
0.63256 0.768536
0.63346 0.767265
0.63436 0.765987
0.63526 0.764703
0.63616 0.763412
0.63706 0.762114
0.63796 0.76081
0.63886 0.759498
0.63976 0.75818
0.64066 0.756854
0.64156 0.755521
0.64246 0.754181
0.64336 0.752834
0.64426 0.751478
0.64516 0.750115
0.64606 0.748745
0.64696 0.747366
0.64786 0.745979
0.64876 0.744585
0.64966 0.743181
0.65056 0.74177
0.65146 0.74035
0.65236 0.738921
0.65326 0.737484
0.65416 0.736037
0.65506 0.734582
0.65596 0.733117
0.65686 0.731644
0.65776 0.73016
0.65866 0.728668
0.65956 0.727165
0.66046 0.725653
0.66136 0.72413
0.66226 0.722598
0.66316 0.721055
0.66406 0.719502
0.66496 0.717938
0.66586 0.716364
0.66676 0.714779
0.66766 0.713183
0.66856 0.711575
0.66946 0.709956
0.67036 0.708326
0.67126 0.706684
0.67216 0.70503
0.67306 0.703365
0.67396 0.701687
0.67486 0.699997
0.67576 0.698294
0.67666 0.696579
0.67756 0.694851
0.67846 0.693109
0.67936 0.691355
0.68026 0.689587
0.68116 0.687806
0.68206 0.686011
0.68296 0.684202
0.68386 0.682378
0.68476 0.680541
0.68566 0.678689
0.68656 0.676822
0.68746 0.67494
0.68836 0.673043
0.68926 0.671131
0.69016 0.669203
0.69106 0.667259
0.69196 0.6653
0.69286 0.663324
0.69376 0.661331
0.69466 0.659322
0.69556 0.657297
0.69646 0.655254
0.69736 0.653193
0.69826 0.651116
0.69916 0.64902
0.70006 0.646906
0.70096 0.644774
0.70186 0.642624
0.70276 0.640455
0.70366 0.638267
0.70456 0.636059
0.70546 0.633832
0.70636 0.631585
0.70726 0.629318
0.70816 0.627031
0.70906 0.624723
0.70996 0.622395
0.71086 0.620045
0.71176 0.617674
0.71266 0.615281
0.71356 0.612867
0.71446 0.61043
0.71536 0.607971
0.71626 0.605489
0.71716 0.602983
0.71806 0.600455
0.71896 0.597903
0.71986 0.595327
0.72076 0.592726
0.72166 0.590102
0.72256 0.587452
0.72346 0.584777
0.72436 0.582077
0.72526 0.579351
0.72616 0.576599
0.72706 0.57382
0.72796 0.571015
0.72886 0.568183
0.72976 0.565323
0.73066 0.562436
0.73156 0.55952
0.73246 0.556577
0.73336 0.553605
0.73426 0.550603
0.73516 0.547573
0.73606 0.544513
0.73696 0.541423
0.73786 0.538302
0.73876 0.535151
0.73966 0.531969
0.74056 0.528755
0.74146 0.52551
0.74236 0.522232
0.74326 0.518923
0.74416 0.51558
0.74506 0.512204
0.74596 0.508795
0.74686 0.505352
0.74776 0.501875
0.74866 0.498364
0.74956 0.494817
0.75046 0.491235
0.75136 0.487618
0.75226 0.483964
0.75316 0.480274
0.75406 0.476547
0.75496 0.472784
0.75586 0.468983
0.75676 0.465143
0.75766 0.461266
0.75856 0.45735
0.75946 0.453395
0.76036 0.449401
0.76126 0.445367
0.76216 0.441293
0.76306 0.437178
0.76396 0.433023
0.76486 0.428826
0.76576 0.424588
0.76666 0.420307
0.76756 0.415984
0.76846 0.411619
0.76936 0.40721
0.77026 0.402757
0.77116 0.398261
0.77206 0.39372
0.77296 0.389134
0.77386 0.384503
0.77476 0.379827
0.77566 0.375105
0.77656 0.370336
0.77746 0.365521
0.77836 0.360658
0.77926 0.355748
0.78016 0.35079
0.78106 0.345783
0.78196 0.340728
0.78286 0.335623
0.78376 0.330469
0.78466 0.325265
0.78556 0.32001
0.78646 0.314704
0.78736 0.309347
0.78826 0.303939
0.78916 0.298478
0.79006 0.292964
0.79096 0.287398
0.79186 0.281778
0.79276 0.276104
0.79366 0.270376
0.79456 0.264593
0.79546 0.258755
0.79636 0.252861
0.79726 0.246912
0.79816 0.240905
0.79906 0.234842
0.79996 0.228721
0.80086 0.222542
0.80176 0.216304
0.80266 0.210008
0.80356 0.203653
0.80446 0.197237
0.80536 0.190762
0.80626 0.184225
0.80716 0.177627
0.80806 0.170968
0.80896 0.164246
0.80986 0.157461
0.81076 0.150613
0.81166 0.143701
0.81256 0.136725
0.81346 0.129685
0.81436 0.122579
0.81526 0.115407
0.81616 0.108168
0.81706 0.100863
0.81796 0.09349
0.81886 0.08605
0.81976 0.07854
0.82066 0.070962
0.82156 0.063314
0.82246 0.055596
0.82336 0.047807
0.82426 0.039947
0.82516 0.032015
0.82606 0.024011
0.82696 0.015933
0.82786 0.007782
0.82876 0
0.1 0
